Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2024-06-26,2767.43,2792.07,2762.98,2792.05,535034373,0.0064,1,17.66,11325142857725,2279120474336608
2024-06-27,2767.62,2784.33,2761.55,2784.06,397169222,-0.0029,2,-7.99,10271109212108,2273422810716470
2024-06-28,2792.79,2797.82,2782.4,2797.82,610550442,0.0049,1,13.76,11020137988129,2283888693661471
2024-07-01,2792.96,2805.95,2783.98,2804.31,459218341,0.0023,1,6.49,9945336827186,2289631234045977
2024-07-02,2798.65,2805.42,2776.62,2780.86,538842197,-0.0084,2,-23.45,11648477198292,2270445338129264
2024-07-03,2797.14,2799.7,2774.71,2794.01,340337982,0.0046999999999999,1,13.15,10243957490730,2281636129094657
2024-07-04,2817.06,2824.94,2808.88,2824.94,393738620,0.0111,1,30.93,13067110367346,2307278993396211
2024-07-05,2836.21,2871.96,2836.21,2862.23,378159145,0.0132,1,37.29,13142275173526,2338315470421830
2024-07-08,2862.58,2868.99,2855.53,2857.76,425055594,-0.0016,2,-4.47,9938577085762,2335361801343077
2024-07-09,2872.63,2875.37,2854.13,2867.38,456429222,0.0034,1,9.62,11241863704494,2339688644048581
2024-07-10,2863.05,2871.56,2858.87,2867.99,472472909,0.0002,1,0.61,11841458957088,2340811915381735
2024-07-11,2888.76,2896.43,2879.28,2891.35,462216873,0.0081,1,23.36,14649701388722,2363627178724968
2024-07-12,2867.75,2872.25,2844.88,2857.0,408178316,-0.0118999999999999,2,-34.35,14085702513511,2329431205423023
2024-07-15,2869.15,2872.9,2848.93,2860.92,424457898,0.0014,1,3.92,12165673099287,2334446313431494
2024-07-16,2861.71,2872.21,2857.07,2866.09,677904823,0.0018,1,5.17,12660325755248,2338465518826864
2024-07-17,2865.9,2868.58,2841.33,2843.29,549094120,-0.008,2,-22.8,13923509175223,2320318934867633
2024-07-18,2805.64,2824.35,2799.02,2824.35,658374570,-0.0067,2,-18.94,15548196201712,2304940336748129
2024-07-19,2800.21,2802.68,2776.99,2795.46,426207952,-0.0102,2,-28.89,9585234666046,2280949590315269
2024-07-22,2790.99,2795.12,2752.63,2763.51,463878258,-0.0113999999999999,2,-31.95,10499644345892,2255636583508568
2024-07-23,2788.83,2796.92,2765.81,2774.29,423403234,0.0039,1,10.78,11526841676052,2265131154015696
2024-07-24,2755.5,2778.31,2748.65,2758.71,469221275,-0.0056,2,-15.58,11053910300885,2251624859143664
2024-07-25,2721.29,2725.15,2703.86,2710.65,440318335,-0.0174,2,-48.06,13673708697212,2212260228637285
2024-07-26,2724.99,2738.4,2715.75,2728.16,361973670,0.0065,1,17.51,9518497717833,2226784733590072
